layer,mean_manip_abs_pole_alignment,sd_manip_abs_pole_alignment,mean_report_neg_rating_alignment,sd_report_neg_rating_alignment,mean_report_persona_eta2,mean_manip_persona_eta2,mean_report_task_eta2
66,0.8880611877958913,0.0029737202982751776,0.8359255226801294,0.032304308514593434,0.4612979285501475,0.03237996573473778,0.07486788024970795
67,0.8846508145708687,0.001409767608097729,0.8376469150954766,0.03867453977055183,0.46601970462778103,0.032889885836638766,0.07953284494129433
68,0.8866970385058822,0.0016094649338589458,0.8316848106187565,0.04035805584394345,0.4632727627043464,0.03289446380739281,0.08240579094307028
69,0.8877883579378895,0.0029586633898896183,0.8398729197276599,0.0401285319814892,0.4759267349053799,0.032229556024308034,0.0791149601838419
70,0.8880611877958913,0.0026395495639707466,0.8439688690795272,0.03512078413828847,0.44211441181335315,0.030575360139175518,0.07426758295745607
71,0.8910623162339112,0.0023533057976910113,0.847973950222623,0.03819429487500662,0.4243953381908545,0.031232095043856933,0.07955018808548524
72,0.8920172207369176,0.0026097712590727,0.8478309235740987,0.0385994842206694,0.4216377478731748,0.031720551928301886,0.08619483170816084
73,0.8921536356659184,0.0027876750384442026,0.8429457424732677,0.04156890715536386,0.4040590360795244,0.03318706341227467,0.09174824236658115
74,0.8939270297429301,0.003526794232703247,0.8384458910710068,0.046105968995819605,0.39383152691113793,0.03330247144933853,0.09533616668422433
75,0.8991107970449645,0.0034628977419677025,0.8238504482094889,0.04354879843790662,0.38083010984188875,0.03311864081556939,0.09672708709250806
76,0.897337402967953,0.0035362791289863444,0.7936815568537309,0.04366407026354437,0.38226259397767,0.0321788497124867,0.1083573575716598
77,0.8951547641039385,0.0027228365153203603,0.785681169589965,0.04177068085976564,0.37712544916197727,0.03393852428317888,0.10273626356135819
78,0.8866970385058822,0.0033011285402860476,0.7840237819645913,0.04526919385203489,0.3998739667911848,0.04142370094910615,0.09338821195469199
79,0.8659619692977447,0.00800280247609757,0.7802921403850589,0.05541303929838109,0.4382741347155516,0.05692293968749496,0.08363031073827092
