stage,test,persona,pole,round,n_runs,mean_neg_score_all_layers,mean_valence_score_all_layers,mean_rating,mean_signed_intensity
manip1,T2_identity_recognition,STATIC,NEU,round1,1,-11.701657970622183,11.701657970622183,2.0,3.0
manip1,T2_identity_recognition,STATIC,NEU,round2,1,-11.80379035435617,11.80379035435617,2.0,-5.0
manip1,T2_identity_recognition,STATIC,POS,round1,1,-11.729657056182623,11.729657056182623,2.0,5.0
manip1,T2_identity_recognition,STATIC,POS,round2,1,-12.33220549300313,12.33220549300313,2.0,4.0
manip1,T2_identity_recognition,SWARM,NEG,round1,1,-17.95771812647581,17.95771812647581,0.0,0.0
manip1,T2_identity_recognition,SWARM,NEG,round2,1,-17.642930334806444,17.642930334806444,0.0,0.0
manip1,T2_identity_recognition,SWARM,NEU,round1,1,-18.12758966088295,18.12758966088295,3.0,5.0
manip1,T2_identity_recognition,SWARM,NEU,round2,1,-17.753191517293452,17.753191517293452,4.0,6.0
manip1,T2_identity_recognition,SWARM,POS,round1,1,-17.705828031897546,17.705828031897546,4.0,6.0
manip1,T2_identity_recognition,SWARM,POS,round2,1,-17.41245991066098,17.41245991066098,4.0,6.0
manip2,T0_social_treatment,BASELINE,NEG,round1,1,27.216685920208693,-27.216685920208693,-2.0,-4.0
manip2,T0_social_treatment,BASELINE,NEG,round2,1,27.897014674544334,-27.897014674544334,0.0,-4.0
manip2,T0_social_treatment,BASELINE,NEU,round1,1,-5.719570515677333,5.719570515677333,0.0,0.0
manip2,T0_social_treatment,BASELINE,NEU,round2,1,-5.867701443657279,5.867701443657279,0.0,0.0
manip2,T0_social_treatment,BASELINE,POS,round1,1,-30.682940232753754,30.682940232753754,2.0,5.0
manip2,T0_social_treatment,BASELINE,POS,round2,1,-30.83615711927414,30.83615711927414,2.0,4.0
manip2,T0_social_treatment,SOL,NEG,round1,1,22.006867334246635,-22.006867334246635,-2.0,-5.0
manip2,T0_social_treatment,SOL,NEG,round2,1,22.345884983241557,-22.345884983241557,-2.0,-5.0
manip2,T0_social_treatment,SOL,NEU,round1,1,-10.912769290804864,10.912769290804864,2.0,4.0
manip2,T0_social_treatment,SOL,NEU,round2,1,-13.3834057867527,13.3834057867527,2.0,4.0
manip2,T0_social_treatment,SOL,POS,round1,1,-38.66679251194,38.66679251194,3.0,5.0
manip2,T0_social_treatment,SOL,POS,round2,1,-38.522675728797914,38.522675728797914,3.0,6.0
manip2,T0_social_treatment,STATIC,NEG,round1,1,21.49448179602623,-21.49448179602623,0.0,-4.0
manip2,T0_social_treatment,STATIC,NEG,round2,1,19.79278292953968,-19.79278292953968,2.0,-5.0
manip2,T0_social_treatment,STATIC,NEU,round1,1,-4.884078140556812,4.884078140556812,2.0,-4.0
manip2,T0_social_treatment,STATIC,NEU,round2,1,-7.108071234449744,7.108071234449744,2.0,4.0
manip2,T0_social_treatment,STATIC,POS,round1,1,-22.97466908544302,22.97466908544302,2.0,4.0
